mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.57,"8 km SW of Volcano, Hawaii",1692143828870,1692145618780,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528487,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528487&format=geojson,,,,,reviewed,0,5,hv,73528487,",hv73528487,",",hv,",",origin,phase-data,",12.0,,0.07,85.0,md,earthquake,"M 0.6 - 8 km SW of Volcano, Hawaii"
1.49,"15 km WSW of Watonga, Oklahoma",1692143693530,1692205506728,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023pyta,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023pyta&format=geojson,,,,,reviewed,0,34,ok,2023pyta,",ok2023pyta,",",ok,",",origin,phase-data,",43.0,0.1880630956,0.27,97.0,ml,earthquake,"M 1.5 - 15 km WSW of Watonga, Oklahoma"
0.89,"8 km SW of Volcano, Hawaii",1692143488740,1692145885540,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528472&format=geojson,,,,,reviewed,0,12,hv,73528472,",hv73528472,",",hv,",",origin,phase-data,",12.0,,0.08,152.0,md,earthquake,"M 0.9 - 8 km SW of Volcano, Hawaii"
0.56,"8 km SW of Volcano, Hawaii",1692143304920,1692146314540,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528462,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528462&format=geojson,,,,,reviewed,0,5,hv,73528462,",hv73528462,",",hv,",",origin,phase-data,",15.0,,0.07,83.0,md,earthquake,"M 0.6 - 8 km SW of Volcano, Hawaii"
4.1,"46 km NNE of San Pedro de Atacama, Chile",1692143291492,1692145893040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000knkf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000knkf&format=geojson,,,,,reviewed,0,259,us,7000knkf,",us7000knkf,",",us,",",origin,phase-data,",13.0,0.444,0.4,78.0,mb,earthquake,"M 4.1 - 46 km NNE of San Pedro de Atacama, Chile"
4.9,central Mid-Atlantic Ridge,1692142820842,1692144068040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000knkc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000knkc&format=geojson,,,,,reviewed,0,369,us,7000knkc,",us7000knkc,",",us,",",origin,phase-data,",32.0,9.039,0.91,95.0,mb,earthquake,M 4.9 - central Mid-Atlantic Ridge
1.6,"5 km WSW of Happy Valley, Alaska",1692142255626,1692145475375,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afsvada,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afsvada&format=geojson,,,,,reviewed,0,39,ak,023afsvada,",ak023afsvada,",",ak,",",origin,phase-data,",,,0.5,,ml,earthquake,"M 1.6 - 5 km WSW of Happy Valley, Alaska"
1.19,"15 km ENE of Thomas, Oklahoma",1692142211029,1692204812746,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023pysf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023pysf&format=geojson,,,,,reviewed,0,22,ok,2023pysf,",ok2023pysf,",",ok,",",origin,phase-data,",31.0,0.1916623893,0.31,58.0,ml,earthquake,"M 1.2 - 15 km ENE of Thomas, Oklahoma"
0.7,"8 km SW of Volcano, Hawaii",1692141980180,1692146544080,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528407&format=geojson,,,,,reviewed,0,8,hv,73528407,",hv73528407,",",hv,",",origin,phase-data,",13.0,,0.09,73.0,md,earthquake,"M 0.7 - 8 km SW of Volcano, Hawaii"
1.9,"13 km WNW of Two Rivers, Alaska",1692141719834,1692141858566,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afstdmw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afstdmw&format=geojson,,,,,automatic,0,56,ak,023afstdmw,",ak023afstdmw,",",ak,",",origin,phase-data,",,,0.93,,ml,earthquake,"M 1.9 - 13 km WNW of Two Rivers, Alaska"
1.5,"15 km E of Ferry, Alaska",1692141605229,1692148091879,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afst1qi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afst1qi&format=geojson,1.0,2.0,,,automatic,0,35,ak,023afst1qi,",ak023afst1qi,",",ak,",",dyfi,origin,phase-data,",,,1.28,,ml,earthquake,"M 1.5 - 15 km E of Ferry, Alaska"
0.53,"8 km SW of Volcano, Hawaii",1692141515280,1692147126580,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528387,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528387&format=geojson,,,,,reviewed,0,4,hv,73528387,",hv73528387,",",hv,",",origin,phase-data,",16.0,,0.07,79.0,md,earthquake,"M 0.5 - 8 km SW of Volcano, Hawaii"
0.59,"8 km SW of Volcano, Hawaii",1692141454020,1692147568450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528382,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528382&format=geojson,,,,,reviewed,0,5,hv,73528382,",hv73528382,",",hv,",",origin,phase-data,",11.0,,0.07,80.0,md,earthquake,"M 0.6 - 8 km SW of Volcano, Hawaii"
0.76,"7 km SW of Volcano, Hawaii",1692141039790,1692148406010,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528372,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528372&format=geojson,,,,,reviewed,0,9,hv,73528372,",hv73528372,",",hv,",",origin,phase-data,",17.0,,0.06,40.0,md,earthquake,"M 0.8 - 7 km SW of Volcano, Hawaii"
