,awardYear,category,categoryFullName,dateAwarded,prizeAmount,prizeAmountAdjusted,links,laureates
0,1901,"{'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}","{'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}",1901-11-12,150782,8722510,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/che/1901', 'action': 'GET', 'types': 'application/json'}]","[{'id': '160', 'knownName': {'en': ""Jacobus H. van 't Hoff""}, 'fullName': {'en': ""Jacobus Henricus van 't Hoff""}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av lagarna för den kemiska dynamiken och för det osmotiska trycket i lösningar'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/160', 'action': 'GET', 'types': 'application/json'}]}]"
1,1901,"{'en': 'Literature', 'no': 'Litteratur', 'se': 'Litteratur'}","{'en': 'The Nobel Prize in Literature', 'no': 'Nobelprisen i litteratur', 'se': 'Nobelpriset i litteratur'}",1901-11-14,150782,8722510,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/lit/1901', 'action': 'GET', 'types': 'application/json'}]","[{'id': '569', 'knownName': {'en': 'Sully Prudhomme'}, 'fullName': {'en': 'Sully Prudhomme'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect', 'se': 'såsom ett erkännande av hans utmärkta, jämväl under senare år ådagalagda förtjänster som författare och särskilt av hans om hög idealitet, konstnärlig fulländning samt sällspord förening av hjärtats och snillets egenskaper vittnande diktning'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/569', 'action': 'GET', 'types': 'application/json'}]}]"
2,1901,"{'en': 'Peace', 'no': 'Fred', 'se': 'Fred'}","{'en': 'The Nobel Peace Prize', 'no': 'Nobels fredspris', 'se': 'Nobels fredspris'}",1901-12-10,150782,8722510,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/pea/1901', 'action': 'GET', 'types': 'application/json'}]","[{'id': '462', 'knownName': {'en': 'Henry Dunant'}, 'fullName': {'en': 'Jean Henry Dunant'}, 'portion': '1/2', 'sortOrder': '1', 'motivation': {'en': 'for his humanitarian efforts to help wounded soldiers and create international understanding', 'no': 'for sin humanitære innsats for å hjelpe sårede soldater og skape internasjonal forståelse'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/462', 'action': 'GET', 'types': 'application/json'}]}, {'id': '463', 'knownName': {'en': 'Frédéric Passy'}, 'fullName': {'en': 'Frédéric Passy'}, 'portion': '1/2', 'sortOrder': '2', 'motivation': {'en': 'for his lifelong work for international peace conferences, diplomacy and arbitration', 'no': 'for sin  livslange innsats for internasjonale fredskonferanser, diplomati og voldgift'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/463', 'action': 'GET', 'types': 'application/json'}]}]"
3,1901,"{'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}","{'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}",1901-11-12,150782,8722510,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/phy/1901', 'action': 'GET', 'types': 'application/json'}]","[{'id': '1', 'knownName': {'en': 'Wilhelm Conrad Röntgen'}, 'fullName': {'en': 'Wilhelm Conrad Röntgen'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av de egendomliga strålar, som sedermera uppkallats efter honom'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/1', 'action': 'GET', 'types': 'application/json'}]}]"
4,1901,"{'en': 'Physiology or Medicine', 'no': 'Fysiologi eller medisin', 'se': 'Fysiologi eller medicin'}","{'en': 'The Nobel Prize in Physiology or Medicine', 'no': 'Nobelprisen i fysiologi eller medisin', 'se': 'Nobelpriset i fysiologi eller medicin'}",1901-10-30,150782,8722510,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/med/1901', 'action': 'GET', 'types': 'application/json'}]","[{'id': '293', 'knownName': {'en': 'Emil von Behring'}, 'fullName': {'en': 'Emil Adolf von Behring'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths', 'se': 'för hans arbete rörande serumterapien och särskilt dess användning mot difteri, varigenom han brutit en ny väg inom den medicinska vetenskapens område och givit läkaren ett segerrikt vapen i kampen mot sjukdom och död'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/293', 'action': 'GET', 'types': 'application/json'}]}]"
5,1902,"{'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}","{'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}",1902-11-11,141847,8205634,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/che/1902', 'action': 'GET', 'types': 'application/json'}]","[{'id': '161', 'knownName': {'en': 'Emil Fischer'}, 'fullName': {'en': 'Hermann Emil Fischer'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom sina syntetiska arbeten inom socker - och purin-grupperna'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/161', 'action': 'GET', 'types': 'application/json'}]}]"
6,1902,"{'en': 'Literature', 'no': 'Litteratur', 'se': 'Litteratur'}","{'en': 'The Nobel Prize in Literature', 'no': 'Nobelprisen i litteratur', 'se': 'Nobelpriset i litteratur'}",1902-11-13,141847,8205634,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/lit/1902', 'action': 'GET', 'types': 'application/json'}]","[{'id': '571', 'knownName': {'en': 'Theodor Mommsen'}, 'fullName': {'en': 'Christian Matthias Theodor Mommsen'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>', 'se': 'nutidens störste levande mästare i den historiska framställningens konst, med särskilt fäst avseende å hans monumentala verk Römische Geschichte'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/571', 'action': 'GET', 'types': 'application/json'}]}]"
7,1902,"{'en': 'Peace', 'no': 'Fred', 'se': 'Fred'}","{'en': 'The Nobel Peace Prize', 'no': 'Nobels fredspris', 'se': 'Nobels fredspris'}",1902-12-10,141847,8205634,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/pea/1902', 'action': 'GET', 'types': 'application/json'}]","[{'id': '464', 'knownName': {'en': 'Élie Ducommun'}, 'fullName': {'en': 'Élie Ducommun'}, 'portion': '1/2', 'sortOrder': '1', 'motivation': {'en': 'for his untiring and skilful directorship of the Bern Peace Bureau', 'no': 'for sin utrettelige og dyktige ledelse av Det internasjonale fredsbyrået i Bern'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/464', 'action': 'GET', 'types': 'application/json'}]}, {'id': '465', 'knownName': {'en': 'Albert Gobat'}, 'fullName': {'en': 'Charles Albert Gobat'}, 'portion': '1/2', 'sortOrder': '2', 'motivation': {'en': 'for his eminently practical administration of the Inter-Parliamentary Union', 'no': 'for sin fremragende praktiske administrering av Den interparlamentariske union'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/465', 'action': 'GET', 'types': 'application/json'}]}]"
8,1902,"{'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}","{'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}",1902-11-11,141847,8205634,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/phy/1902', 'action': 'GET', 'types': 'application/json'}]","[{'id': '2', 'knownName': {'en': 'Hendrik A. Lorentz'}, 'fullName': {'en': 'Hendrik Antoon Lorentz'}, 'portion': '1/2', 'sortOrder': '1', 'motivation': {'en': 'in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena', 'se': 'såsom ett erkännande av den utomordentliga förtjänst de inlagt genom sina undersökningar över magnetismens inflytande på strålningsfenomenen'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/2', 'action': 'GET', 'types': 'application/json'}]}, {'id': '3', 'knownName': {'en': 'Pieter Zeeman'}, 'fullName': {'en': 'Pieter Zeeman'}, 'portion': '1/2', 'sortOrder': '2', 'motivation': {'en': 'in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena', 'se': 'såsom ett erkännande av den utomordentliga förtjänst de inlagt genom sina undersökningar över magnetismens inflytande på strålningsfenomenen'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/3', 'action': 'GET', 'types': 'application/json'}]}]"
9,1902,"{'en': 'Physiology or Medicine', 'no': 'Fysiologi eller medisin', 'se': 'Fysiologi eller medicin'}","{'en': 'The Nobel Prize in Physiology or Medicine', 'no': 'Nobelprisen i fysiologi eller medisin', 'se': 'Nobelpriset i fysiologi eller medicin'}",1902-10-30,141847,8205634,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/med/1902', 'action': 'GET', 'types': 'application/json'}]","[{'id': '294', 'knownName': {'en': 'Ronald Ross'}, 'fullName': {'en': 'Ronald Ross'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it', 'se': 'för hans arbete rörande malarian, varigenom han uppdagat det sätt, varpå densamma vinner insteg i organismen, och därmed lagt grunden för betydelsefulla forskningar angående denna sjukdom och dess bekämpande'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/294', 'action': 'GET', 'types': 'application/json'}]}]"
